nox,room,price,flag
5.7570975627301735,53.0,315.094,test
6.917050524645346,8.0,68.642,test
5.398543043201481,126.0,550.0930000000002,test
4.4511459184443085,79.0,1032.118,test
4.4363732250521535,53.0,924.512,test
6.176138804171815,66.0,239.482,test
6.484161454162499,145.0,237.054,test
5.608289302639967,50.0,349.43800000000016,test
6.489526612422607,68.0,187.204,test
6.122019018571298,26.0,188.205,test
6.541473574604603,126.0,216.719,test
6.389256552947098,59.0,194.51,test
5.518288000001816,125.0,497.731,test
6.99821626256855,10.0,68.789,test
5.320543774489408,35.0,396.112,test
4.920814672270679,141.0,840.3810000000003,test
5.745046849538263,62.0,333.849,test
5.060965039700154,101.0,676.91,test
6.085562870028317,123.0,311.934,test
4.624089182905848,153.0,1097.381,test
7.308620148691151,37.0,79.711,test
4.603859708288553,94.0,961.123,test
6.874508025451586,91.0,149.54399999999995,test
7.019871072389997,9.0,65.44,test
5.6820240065172944,10.0,201.088,test
5.194807688800257,20.0,369.789,test
4.550867118810205,156.0,1171.804,test
7.288237785884736,69.0,98.077,test
6.746575175232589,20.0,104.4,test
5.026707422062295,23.0,442.614,test
6.0887911200400815,10.0,144.34799999999996,test
5.670095735187128,130.0,445.11800000000005,test
6.428071194458577,63.0,192.275,test
5.514176709137995,44.0,362.821,test
5.908601640931303,43.0,261.23400000000004,test
4.758955085719106,57.0,726.7810000000003,test
5.628495658747334,14.0,232.834,test
6.011225031430032,78.0,288.3,test
4.794889442563897,132.0,912.603,test
6.6702450455506455,59.0,154.69799999999995,test
6.296353294603184,18.0,145.901,test
6.926388395732652,63.0,128.099,test
5.068938879862613,64.0,584.896,test
4.334747044532123,42.0,935.339,test
4.810756578696759,156.0,948.127,test
4.1731518905585805,28.0,942.5,test
5.0509269588102805,46.0,536.495,test
4.812353688991774,81.0,774.824,test
4.7818565305946565,25.0,554.33,test
6.136908524846537,114.0,292.276,test
5.43956290688884,44.0,385.568,test
5.276380943484283,148.0,638.357,test
4.19902496155617,27.0,912.62,test
4.617105841705931,82.0,911.886,test
4.172881103375326,3.0,475.9330000000001,test
5.578023340249916,98.0,440.059,test
4.854087528642678,101.0,801.2280000000003,test
6.418916430510582,140.0,247.332,test
7.289635193287793,9.0,52.526,test
4.565827918074235,130.0,1094.789,test
4.67382697935775,120.0,978.287,test
6.478360056418895,18.0,125.787,test
6.7789788720456965,33.0,118.517,test
5.515426682671062,43.0,359.909,test
6.4988014157590985,89.0,201.743,test
5.251686187073968,99.0,575.928,test
6.303332124756862,83.0,231.586,test
6.376483425889338,121.0,244.856,test
5.60521728427108,91.0,420.762,test
5.681361696966504,9.0,194.812,test
4.2812678479821535,146.0,1430.456,test
4.424862046143333,38.0,842.8919999999997,test
6.025226568424571,59.0,261.691,test
6.922748098071432,150.0,167.53900000000004,test
6.576034327595187,128.0,211.717,test
5.431253825534737,3.0,170.665,test
7.022307935505036,151.0,154.795,test
5.277014402235981,112.0,585.868,test
